Sample,Filename,File type,Encoding,Total Sequences,Sequences flagged as poor quality,Sequence length,%GC,total_deduplicated_percentage,avg_sequence_length,basic_statistics,per_base_sequence_quality,per_tile_sequence_quality,per_sequence_quality_scores,per_base_sequence_content,per_sequence_gc_content,per_base_n_content,sequence_length_distribution,sequence_duplication_levels,overrepresented_sequences,adapter_content
202_S29_L001_1P,202_S29_L001_1P.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,43836751,0,30-142,36,71.11735272,140.985973,pass,pass,fail,pass,warn,pass,pass,warn,pass,pass,pass
202_S29_L001_2P,202_S29_L001_2P.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,43836751,0,30-142,36,71.87497228,140.991973,pass,pass,fail,pass,warn,pass,pass,warn,pass,pass,pass
206_S39_L001_1P,206_S39_L001_1P.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,49198055,0,30-142,36,67.24304665,140.989333,pass,pass,fail,pass,warn,pass,pass,warn,warn,pass,pass
206_S39_L001_2P,206_S39_L001_2P.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,49198055,0,30-142,36,67.4247884,140.9942562,pass,pass,fail,pass,warn,pass,pass,warn,warn,pass,pass
210_S57_L001_1P,210_S57_L001_1P.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,33253226,0,30-142,36,72.18871401,140.9810254,pass,pass,fail,pass,warn,pass,pass,warn,pass,pass,pass
210_S57_L001_2P,210_S57_L001_2P.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,33253226,0,30-142,36,72.87000059,140.9903549,pass,pass,fail,pass,warn,pass,pass,warn,pass,pass,pass
218_S47_L001_1P,218_S47_L001_1P.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,45061886,0,30-142,36,67.27050538,140.9878255,pass,pass,fail,pass,warn,pass,pass,warn,warn,pass,pass
218_S47_L001_2P,218_S47_L001_2P.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,45061886,0,30-142,36,67.52582355,140.9935669,pass,pass,fail,pass,warn,pass,pass,warn,warn,pass,pass
233_S93_L002_1P,233_S93_L002_1P.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,44783660,0,30-142,35,71.91930616,140.9854854,pass,pass,fail,pass,warn,pass,pass,warn,pass,pass,pass
233_S93_L002_2P,233_S93_L002_2P.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,44783660,0,30-142,35,72.83337409,140.9892385,pass,pass,fail,pass,warn,pass,pass,warn,pass,pass,pass
247_S101_L002_1P,247_S101_L002_1P.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,38646262,0,30-142,35,72.2152591,140.9800659,pass,pass,fail,pass,warn,pass,pass,warn,pass,pass,pass
247_S101_L002_2P,247_S101_L002_2P.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,38646262,0,30-142,36,73.09571493,140.9878434,pass,pass,fail,pass,warn,pass,pass,warn,pass,pass,pass
249_S133_L003_1P,249_S133_L003_1P.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,39108242,0,30-142,37,65.08123188,140.9604865,pass,pass,fail,pass,warn,pass,pass,warn,warn,pass,pass
249_S133_L003_2P,249_S133_L003_2P.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,39108242,0,30-142,37,66.79333149,140.9765929,pass,pass,fail,pass,warn,pass,warn,warn,warn,pass,pass
255_S61_L001_1P,255_S61_L001_1P.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,26966956,0,30-142,36,74.72476817,140.9847869,pass,pass,fail,pass,warn,pass,pass,warn,pass,pass,pass
255_S61_L001_2P,255_S61_L001_2P.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,26966956,0,30-142,36,75.44982149,140.991274,pass,pass,fail,pass,warn,pass,pass,warn,pass,pass,pass
