Sample,Filename,File type,Encoding,Total Sequences,Sequences flagged as poor quality,Sequence length,%GC,total_deduplicated_percentage,avg_sequence_length,basic_statistics,per_base_sequence_quality,per_tile_sequence_quality,per_sequence_quality_scores,per_base_sequence_content,per_sequence_gc_content,per_base_n_content,sequence_length_distribution,sequence_duplication_levels,overrepresented_sequences,adapter_content
202_S29_L001_R1_001,202_S29_L001_R1_001.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,48707320,0,151,37,69.28652213,151,pass,pass,fail,pass,fail,pass,pass,pass,warn,pass,warn
202_S29_L001_R2_001,202_S29_L001_R2_001.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,48707320,0,151,37,70.41215683,151,pass,pass,fail,pass,fail,pass,pass,pass,pass,pass,warn
206_S39_L001_R1_001,206_S39_L001_R1_001.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,54691866,0,151,37,65.27923555,151,pass,pass,fail,pass,fail,pass,pass,pass,warn,pass,warn
206_S39_L001_R2_001,206_S39_L001_R2_001.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,54691866,0,151,36,65.94606672,151,pass,pass,fail,pass,fail,pass,pass,pass,warn,pass,warn
210_S57_L001_R1_001,210_S57_L001_R1_001.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,38126568,0,151,37,70.63179229,151,pass,pass,fail,pass,fail,pass,pass,pass,pass,pass,fail
210_S57_L001_R2_001,210_S57_L001_R2_001.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,38126568,0,151,37,71.45034599,151,pass,pass,fail,pass,fail,pass,pass,pass,pass,pass,fail
218_S47_L001_R1_001,218_S47_L001_R1_001.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,49914923,0,151,37,65.4402458,151,pass,pass,fail,pass,fail,pass,pass,pass,warn,pass,warn
218_S47_L001_R2_001,218_S47_L001_R2_001.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,49914923,0,151,37,66.24057819,151,pass,pass,fail,pass,fail,pass,pass,pass,warn,pass,warn
233_S93_L002_R1_001,233_S93_L002_R1_001.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,51611066,0,151,37,70.50326746,151,pass,pass,fail,pass,fail,pass,pass,pass,pass,pass,fail
233_S93_L002_R2_001,233_S93_L002_R2_001.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,51611066,0,151,37,71.08694342,151,pass,pass,fail,pass,fail,pass,pass,pass,pass,pass,fail
247_S101_L002_R1_001,247_S101_L002_R1_001.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,44938588,0,151,37,70.60623049,151,pass,pass,fail,pass,fail,pass,pass,pass,pass,pass,fail
247_S101_L002_R2_001,247_S101_L002_R2_001.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,44938588,0,151,37,71.23578036,151,pass,pass,fail,pass,fail,pass,pass,pass,pass,pass,fail
249_S133_L003_R1_001,249_S133_L003_R1_001.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,51650069,0,151,39,63.21097608,151,pass,pass,fail,pass,fail,pass,pass,pass,warn,pass,fail
249_S133_L003_R2_001,249_S133_L003_R2_001.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,51650069,0,151,39,64.56416909,151,pass,pass,fail,pass,fail,pass,warn,pass,warn,pass,fail
255_S61_L001_R1_001,255_S61_L001_R1_001.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,29984968,0,151,37,73.42822375,151,pass,pass,fail,pass,fail,pass,pass,pass,pass,pass,warn
255_S61_L001_R2_001,255_S61_L001_R2_001.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,29984968,0,151,37,74.17058074,151,pass,pass,fail,pass,fail,pass,pass,pass,pass,pass,warn
