,PLANT_ID,Reads_number,T_S_Ratio,Computel,Coverage,k_seek,TRIP
1,202,43.8,1.231144413,5827.37,28.66,325387,503140
2,206,49.2,1.00695555,4101.65,32.17,251622,413988
3,210,33.3,1,3940.45,21.74,167963,268161
4,218,45.1,1.347233577,5166.46,29.46,304647,475293
5,233,44.8,1.205807828,4806.05,29.28,252969,422407
6,247,38.6,0.835087919,4200.06,25.27,185791,328155
7,249,39.1,2.056227653,5438.12,25.57,249996,431771
8,255,27,1.021012126,3045.77,17.63,97368,165976
9,258,35.2,1.180992661,4952.81,23.04,230393,359562
10,260,44.5,1.777685362,5898.57,29.09,334692,537016
11,263,41.7,1.164733586,3872.7,27.27,196203,333418
12,307,34.8,1.01395948,3836.48,22.73,163489,255401
13,311,37.3,1.042465761,3709.13,24.36,168676,266684
14,315,38.2,1.094293701,4310.76,25,206836,323702
15,316,35.9,1.328685814,4316.4,23.48,195917,311620
16,317,34.6,1.505246747,3771.51,22.65,155605,256767
17,333,40.2,1.385109468,4063.78,26.26,198448,324072
18,334,31.3,1.064370182,4009.67,20.46,151332,250021
19,342,36.6,1.424050196,3969.91,23.95,191788,290794
20,343,35.8,1.777685362,3982.07,23.41,157229,278093
21,353,39.3,1.257013375,3495.59,25.69,137651,260155
22,360,30.3,1.464085696,4354.08,19.83,169759,269430
23,364,48.3,0.926588062,4932.32,31.58,302302,453666
24,365,18.8,1.140763716,966.36,12.31,22520,37743
25,368,35.7,1.414213562,4958.73,23.33,229987,337995
26,371,37.7,1.453972517,6184.88,24.66,283189,449189
27,374,24.8,1.132883885,3524.58,16.19,106029,175815
28,379,32.9,1.319507911,4432.34,21.52,184198,287725
29,380,35,1.283425898,3679.35,22.87,149637,255464
30,381,27.3,1.148698355,4174.7,17.86,126143,235368
31,384,38.1,1.028113827,3995.5,24.93,175500,291020
32,389,46.5,1.049716684,4722.44,30.41,282751,433456
33,390,35.9,1.101905116,4845.27,23.45,222737,346402
34,393,43.6,1.515716567,3545.67,28.49,188248,305744
35,405,27.1,0.864537231,3486.84,17.73,109259,190804
36,407,34.7,1.064370182,3574.4,22.66,147366,244180
37,411,41.7,1.681792831,5103.54,27.27,259591,422587
38,412,46.8,0.801069878,3271.08,30.62,188090,307678
39,416,47.3,1.2397077,4570.03,30.93,279121,441512
40,418,27.9,0.933032992,3088.17,18.23,100393,167537
41,419,38.3,1.840375301,4825.39,25.04,234695,370642
42,423,32.7,0.895025071,3189.94,21.37,130696,212026
43,426,32,1.132883885,3359.75,20.91,135461,217949
44,427,40.3,0.697371833,2640.58,26.34,141392,210837
45,430,28.6,0.784584098,2160.66,18.69,74822,121434
46,431,42.8,1.658639092,5211.32,28,277441,454761
47,432,39.6,0.768437591,4048.17,25.87,204308,308453
48,433,34.8,1.765405993,5361.57,22.77,207765,365272
49,437,41.4,1.197478705,4422.21,27.09,212361,360008
50,439,43,1.101905116,4436.57,28.13,233717,372195
51,443,41.5,1.765405993,5848.68,27.13,268585,459780
52,451,39.1,1.164733586,4556.49,25.58,205424,352788
53,453,30.5,0.726986259,2399.96,19.96,88188,143738
54,463,29.2,1.00695555,3368.65,19.07,118027,194819
55,469,40.2,1.086734863,3956.5,26.29,195426,309233
56,470,31,0.737134609,2973.41,20.25,101669,174697
57,521,40.8,1.2397077,4642.63,26.66,246880,381656
58,522,51.6,1.148698355,4463.75,33.75,275486,452670
59,530,36.7,0.933032992,3637.7,23.98,161358,270348
60,533,49.9,1.274560627,4942.12,32.61,311387,496772
61,536,38.6,1.028113827,3350.14,25.21,136565,245555
62,543,34.1,0.801069878,3773.96,22.31,161999,266681
63,545,37.7,0.993092495,3879.04,24.64,177642,289658
64,562,46.5,1.01395948,4144.96,30.42,245329,386159
65,564,40.3,1.375541818,5046.66,26.34,253632,411164
66,567,41,1.222640278,5217.64,26.81,282033,444988
67,572,40.6,1.729074463,5609.98,26.56,291739,451409
68,588,49.2,1.079228237,3797.12,32.2,236416,369305
69,594,33.4,1.866065983,5038.5,21.87,203021,338432
70,601,37,1.453972517,5343.76,24.17,236688,389241
71,712,42.1,1.536875181,4082.89,27.52,219062,343367
72,718,32.6,1.117287138,4112.27,21.32,145516,250814
73,719,30.6,1.189207115,3231.74,20.02,100155,187686
74,747,34.6,1.205807828,4143.96,22.61,174665,275920
75,755,42.7,0.876605721,3516.36,27.95,170031,284678
76,762,27.1,1.01395948,2667.27,17.74,88709,144741
77,767,38.7,1.375541818,4607.1,25.3,224337,342245
78,785,27.1,1.394743666,3947.11,17.71,131870,213924
79,801,32.7,0.986232704,3797.08,21.36,150830,248335
80,805,34.2,1.292352831,4622.26,22.37,189748,313606
81,808,42.4,1.057018041,3624.4,27.74,194086,313020
82,809,22.7,0.933032992,3312.16,14.87,97724,158797
83,810,25.5,1.079228237,3612,16.68,100802,178324
84,812,38.6,1,3683.77,25.25,177774,285099
85,813,32,1.064370182,3838.64,20.93,147160,239278
86,816,45.5,1.164733586,5457.76,29.72,307203,488045
87,821,47.1,1.132883885,3416.47,30.83,201081,309457
88,822,33.7,1.035264924,3229.09,22.02,138157,211579
89,823,35.5,0.959264119,3533.61,23.2,152008,242363
90,827,29.3,0.673616788,3140.96,19.14,102437,188541
91,843,41.8,0.920187651,4427.92,27.34,202838,350414
92,845,44.4,0.946057647,4428.89,29.01,257653,394996
93,847,43.1,1.385109468,3982.3,28.17,191364,317822
94,860,33.9,1.140763716,3915.47,22.19,168405,271263
95,863,33.5,1.101905116,3532.11,21.93,138226,236395
96,865,27.7,1.214194884,4477.67,18.09,155493,250436
97,939,40.3,0.939522749,4349.89,26.34,191375,342396
98,947,45.1,1.283425898,4596.23,29.52,270321,437861
99,MHCE03,43.3,1.424050196,4202.76,28.32,221806,358639
100,MHCE07,36.2,1.205807828,3933.67,23.65,182507,283658
